GISJOIN,YEAR,STUSAB,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,CDA,SLDU18A,SLDL18A,VTDA,VTDI,SDELMA,SDSECA,SDUNIA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,U7B001,U7B002,U7B003,U7B004,U7B005,U7B006,U7B007,U7B008,U7B009,U7B010,U7B011,U7B012,U7B013,U7B014,U7B015,U7B016,U7B017,U7B018,U7B019,U7B020,U7B021,U7B022,U7B023,U7B024,U7B025,U7B026,U7B027,U7B028,U7B029,U7B030,U7B031,U7B032,U7B033,U7B034,U7B035,U7B036,U7B037,U7B038,U7B039,U7B040,U7B041,U7B042,U7B043,U7B044,U7B045,U7B046,U7B047,U7B048,U7B049,U7B050,U7B051,U7B052,U7B053,U7B054,U7B055,U7B056,U7B057,U7B058,U7B059,U7B060,U7B061,U7B062,U7B063,U7B064,U7B065,U7B066,U7B067,U7B068,U7B069,U7B070,U7B071,U7C001,U7C002,U7C003,U7C004,U7C005,U7C006,U7C007,U7C008,U7C009,U7C010,U7C011,U7C012,U7C013,U7C014,U7C015,U7C016,U7C017,U7C018,U7C019,U7C020,U7C021,U7C022,U7C023,U7C024,U7C025,U7C026,U7C027,U7C028,U7C029,U7C030,U7C031,U7C032,U7C033,U7C034,U7C035,U7C036,U7C037,U7C038,U7C039,U7C040,U7C041,U7C042,U7C043,U7C044,U7C045,U7C046,U7C047,U7C048,U7C049,U7C050,U7C051,U7C052,U7C053,U7C054,U7C055,U7C056,U7C057,U7C058,U7C059,U7C060,U7C061,U7C062,U7C063,U7C064,U7C065,U7C066,U7C067,U7C068,U7C069,U7C070,U7C071,U7C072,U7C073
"G16000100001011","2020","ID","1500000US160010001011","160010001011","4","8","Idaho","16","Ada County","001",,,,,,,"000101","1",,,,,,,,"14260","1","147","99999",,,,,,,,,,,,,,,"726164","78777","1","Block Group 1","S","+43.6074008","-116.2018255","BG",360,314,284,7,2,17,0,4,46,43,4,19,4,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,46,314,285,260,5,2,17,0,1,29,27,1,18,3,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G16000100001012","2020","ID","1500000US160010001012","160010001012","4","8","Idaho","16","Ada County","001",,,,,,,"000101","2",,,,,,,,"14260","1","147","99999",,,,,,,,,,,,,,,"847327","66395","2","Block Group 2","S","+43.6153108","-116.2159151","BG",1217,1125,951,47,22,66,1,38,92,89,14,17,21,0,31,0,0,0,1,2,0,0,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,113,1104,1046,915,44,15,62,1,9,58,56,11,15,17,0,8,0,0,0,0,2,0,0,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G16000100001021","2020","ID","1500000US160010001021","160010001021","4","8","Idaho","16","Ada County","001",,,,,,,"000102","1",,,,,,,,"14260","1","147","99999",,,,,,,,,,,,,,,"807346","0","1","Block Group 1","S","+43.6224639","-116.2071101","BG",1290,1170,1079,12,12,30,2,35,120,113,6,25,33,3,40,0,1,0,0,0,0,3,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1290,115,1175,1094,1035,10,7,30,2,10,81,76,5,24,33,3,9,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G16000100001022","2020","ID","1500000US160010001022","160010001022","4","8","Idaho","16","Ada County","001",,,,,,,"000102","2",,,,,,,,"14260","1","147","99999",,,,,,,,,,,,,,,"753009","16150","2","Block Group 2","S","+43.6197534","-116.2166748","BG",611,546,487,22,7,13,5,12,65,59,1,11,25,0,22,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,46,565,519,474,22,5,12,5,1,46,43,1,11,25,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G16000100001023","2020","ID","1500000US160010001023","160010001023","4","8","Idaho","16","Ada County","001",,,,,,,"000102","3",,,,,,,,"14260","1","147","99999",,,,,,,,,,,,,,,"649438","0","3","Block Group 3","S","+43.6164580","-116.1969606","BG",615,552,488,19,3,22,1,19,63,56,1,7,14,1,26,0,2,0,1,0,0,0,0,4,0,7,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,65,550,514,467,19,3,21,1,3,36,33,1,6,14,1,7,0,2,0,0,0,0,0,0,2,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G16000100001024","2020","ID","1500000US160010001024","160010001024","4","8","Idaho","16","Ada County","001",,,,,,,"000102","4",,,,,,,,"14260","1","147","99999",,,,,,,,,,,,,,,"354505","0","4","Block Group 4","S","+43.6126794","-116.1994294","BG",745,681,553,88,1,33,1,5,64,60,5,10,20,4,19,0,0,0,0,0,0,0,1,1,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,745,38,707,661,535,88,1,32,1,4,46,44,5,10,20,4,3,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G16000100002011","2020","ID","1500000US160010002011","160010002011","4","8","Idaho","16","Ada County","001",,,,,,,"000201","1",,,,,,,,"14260","1","147","99999",,,,,,,,,,,,,,,"3564974","590","1","Block Group 1","S","+43.6312002","-116.1842139","BG",2243,2058,1967,11,5,42,4,29,185,179,19,32,42,0,83,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243,103,2140,2012,1934,9,3,42,4,20,128,124,19,28,39,0,38,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G16000100002012","2020","ID","1500000US160010002012","160010002012","4","8","Idaho","16","Ada County","001",,,,,,,"000201","2",,,,,,,,"14260","1","147","99999",,,,,,,,,,,,,,,"10668566","17630","2","Block Group 2","S","+43.6314866","-116.1710011","BG",1325,1259,1203,18,7,18,0,13,66,62,2,10,13,0,34,0,0,0,1,0,0,0,1,1,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,47,1278,1240,1194,18,4,17,0,7,38,35,2,9,12,0,11,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G16000100002021","2020","ID","1500000US160010002021","160010002021","4","8","Idaho","16","Ada County","001",,,,,,,"000202","1",,,,,,,,"14260","1","147","99999",,,,,,,,,,,,,,,"18133271","32889","1","Block Group 1","S","+43.6815927","-116.2025640","BG",2129,1991,1891,11,3,40,4,42,138,136,12,9,30,1,84,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2129,84,2045,1955,1872,11,1,40,0,31,90,88,12,5,30,1,40,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G16000100002022","2020","ID","1500000US160010002022","160010002022","4","8","Idaho","16","Ada County","001",,,,,,,"000202","2",,,,,,,,"14260","1","147","99999",,,,,,,,,,,,,,,"11103903","10766","2","Block Group 2","S","+43.6767259","-116.2351561","BG",1432,1324,1253,22,2,36,0,11,108,103,0,23,16,0,64,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,70,1362,1307,1240,22,2,36,0,7,55,50,0,20,16,0,14,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
